Problem,Encoding,Instance,Pre-processing,Result,Model,Time,Solving,1st Model,Unsat,CPU,Pre-proc Time(Nanos)
../Instances/Pigeon_Hole,SBASS,p200_h199,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Hole,active_BK,p200_h200,OK,SATISFIABLE,1,8.713,0.00,0.00,0.00,8.713,0
../Instances/Pigeon_Hole,active_BK_sat,p200_h200,OK,SATISFIABLE,1,9.495,0.00,0.00,0.00,9.494,0
../Instances/Pigeon_Hole,BASE,p200_h200,OK,SATISFIABLE,1+,16.523,0.39,0.39,0.00,16.522,0
../Instances/Pigeon_Hole,SBASS,p200_h200,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Hole,active_BK,p300_h299,OK,UNSATISFIABLE,0,30.643,0.00,0.00,0.00,30.642,0
../Instances/Pigeon_Hole,active_BK_sat,p300_h299,OK,UNSATISFIABLE,0,30.237,0.00,0.00,0.00,30.236,0
../Instances/Pigeon_Hole,BASE,p300_h299,OK,UNKNOWN,0+,900.000,845.07,0.00,0.00,899.966,0
../Instances/Pigeon_Hole,SBASS,p300_h299,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Hole,active_BK,p300_h300,OK,SATISFIABLE,1,30.510,0.00,0.00,0.00,30.509,0
../Instances/Pigeon_Hole,active_BK_sat,p300_h300,OK,SATISFIABLE,1,30.333,0.00,0.00,0.00,30.332,0
../Instances/Pigeon_Hole,BASE,p300_h300,OK,SATISFIABLE,1+,55.606,0.78,0.78,0.00,55.604,0
../Instances/Pigeon_Hole,SBASS,p300_h300,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Hole,active_BK,p400_h399,OK,UNSATISFIABLE,0,72.561,0.00,0.00,0.00,72.558,0
../Instances/Pigeon_Hole,active_BK_sat,p400_h399,OK,UNSATISFIABLE,0,72.571,0.00,0.00,0.00,72.569,0
../Instances/Pigeon_Hole,BASE,p400_h399,OK,UNKNOWN,0+,900.000,768.29,0.00,0.00,899.985,0
../Instances/Pigeon_Hole,SBASS,p400_h399,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Hole,active_BK,p400_h400,OK,SATISFIABLE,1,73.701,0.00,0.00,0.00,73.698,0
../Instances/Pigeon_Hole,active_BK_sat,p400_h400,OK,SATISFIABLE,1,73.554,0.00,0.00,0.00,73.552,0
../Instances/Pigeon_Hole,BASE,p400_h400,OK,SATISFIABLE,1+,135.031,1.57,1.57,0.00,135.025,0
../Instances/Pigeon_Hole,SBASS,p400_h400,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Hole,active_BK,p50_h49,OK,UNSATISFIABLE,0,0.115,0.00,0.00,0.00,0.115,0
../Instances/Pigeon_Hole,active_BK_sat,p50_h49,OK,UNSATISFIABLE,0,0.157,0.00,0.00,0.00,0.157,0
../Instances/Pigeon_Hole,BASE,p50_h49,OK,UNKNOWN,0+,900.000,899.73,0.00,0.00,899.979,0
../Instances/Pigeon_Hole,SBASS,p50_h49,OK,UNSATISFIABLE,0,2.978,1.96,0.00,1.96,2.977,54581052304
../Instances/Pigeon_Hole,active_BK,p50_h50,OK,SATISFIABLE,1,0.117,0.00,0.00,0.00,0.117,0
../Instances/Pigeon_Hole,active_BK_sat,p50_h50,OK,SATISFIABLE,1,0.116,0.00,0.00,0.00,0.116,0
../Instances/Pigeon_Hole,BASE,p50_h50,OK,SATISFIABLE,1+,0.272,0.02,0.02,0.00,0.272,0
../Instances/Pigeon_Hole,SBASS,p50_h50,OK,SATISFIABLE,1+,2.334,1.19,1.19,0.00,2.334,54521494447
../Instances/Pigeon_Owner,active_BK,o1_c3_p12_h13,OK,UNSATISFIABLE,0,2.327,2.31,0.00,2.31,2.327,0
../Instances/Pigeon_Owner,active_BK_sat,o1_c3_p12_h13,OK,UNSATISFIABLE,0,0.015,0.00,0.00,0.00,0.015,0
../Instances/Pigeon_Owner,BASE,o1_c3_p12_h13,OK,UNKNOWN,0+,900.000,899.96,0.00,0.00,899.970,0
../Instances/Pigeon_Owner,SBASS,o1_c3_p12_h13,OK,UNKNOWN,0+,900.000,899.97,0.00,0.00,899.985,200009849
../Instances/Pigeon_Owner,active_BK,o1_c3_p52_h54,OK,SATISFIABLE,1+,2.818,1.63,1.63,0.00,2.817,0
../Instances/Pigeon_Owner,active_BK_sat,o1_c3_p52_h54,OK,SATISFIABLE,1+,0.858,0.00,0.00,0.00,0.858,0
../Instances/Pigeon_Owner,BASE,o1_c3_p52_h54,OK,SATISFIABLE,1+,2.760,0.02,0.02,0.00,2.760,0
../Instances/Pigeon_Owner,SBASS,o1_c3_p52_h54,OK,UNKNOWN,0+,900.000,896.83,0.00,0.00,899.986,394272890188
../Instances/Pigeon_Owner,active_BK,o2_c3_p12_h13,OK,UNSATISFIABLE,0,1.865,1.84,0.00,1.84,1.865,0
../Instances/Pigeon_Owner,active_BK_sat,o2_c3_p12_h13,OK,UNSATISFIABLE,0,0.017,0.00,0.00,0.00,0.017,0
../Instances/Pigeon_Owner,BASE,o2_c3_p12_h13,OK,UNKNOWN,0+,900.000,899.95,0.00,0.00,899.985,0
../Instances/Pigeon_Owner,SBASS,o2_c3_p12_h13,OK,UNKNOWN,0+,900.000,899.95,0.00,0.00,899.984,395275748
../Instances/Pigeon_Owner,active_BK,o2_c3_p52_h54,OK,SATISFIABLE,1+,1.463,0.15,0.15,0.00,1.463,0
../Instances/Pigeon_Owner,active_BK_sat,o2_c3_p52_h54,OK,SATISFIABLE,1+,1.294,0.00,0.00,0.00,1.294,0
../Instances/Pigeon_Owner,BASE,o2_c3_p52_h54,OK,UNKNOWN,0+,900.000,896.38,0.00,0.00,899.987,0
../Instances/Pigeon_Owner,SBASS,o2_c3_p52_h54,OK,UNKNOWN,0+,900.000,896.12,0.00,0.00,899.975,745101131665
../Instances/Pigeon_Owner,active_BK,o3_c1_p12_h13,OK,UNSATISFIABLE,0,2.335,2.32,0.00,2.32,2.335,0
../Instances/Pigeon_Owner,active_BK_sat,o3_c1_p12_h13,OK,UNSATISFIABLE,0,0.014,0.00,0.00,0.00,0.014,0
../Instances/Pigeon_Owner,BASE,o3_c1_p12_h13,OK,UNKNOWN,0+,900.000,899.97,0.00,0.00,899.973,0
../Instances/Pigeon_Owner,SBASS,o3_c1_p12_h13,OK,UNKNOWN,0+,900.000,899.96,0.00,0.00,899.984,320512625
../Instances/Pigeon_Owner,active_BK,o3_c1_p52_h54,OK,SATISFIABLE,1+,2.619,1.63,1.63,0.00,2.619,0
../Instances/Pigeon_Owner,active_BK_sat,o3_c1_p52_h54,OK,SATISFIABLE,1+,1.151,0.00,0.00,0.00,1.151,0
../Instances/Pigeon_Owner,BASE,o3_c1_p52_h54,OK,SATISFIABLE,1+,2.732,0.02,0.02,0.00,2.732,0
../Instances/Pigeon_Owner,SBASS,o3_c1_p52_h54,OK,UNKNOWN,0+,900.000,896.76,0.00,0.00,899.976,392267312388
../Instances/Pigeon_Owner,active_BK,o4_c4_p12_h14,OK,UNSATISFIABLE,0,1.270,1.23,0.00,1.23,1.270,0
../Instances/Pigeon_Owner,active_BK_sat,o4_c4_p12_h14,OK,UNSATISFIABLE,0,0.041,0.00,0.00,0.00,0.041,0
../Instances/Pigeon_Owner,BASE,o4_c4_p12_h14,OK,UNKNOWN,0+,900.000,899.91,0.00,0.00,899.982,0
../Instances/Pigeon_Owner,SBASS,o4_c4_p12_h14,OK,UNKNOWN,0+,900.000,899.87,0.00,0.00,899.982,1238392661
../Instances/Pigeon_Owner,active_BK,o4_c4_p52_h55,OK,SATISFIABLE,1+,6.316,3.24,3.24,0.00,6.316,0
../Instances/Pigeon_Owner,active_BK_sat,o4_c4_p52_h55,OK,SATISFIABLE,1+,3.036,0.01,0.01,0.00,3.036,0
../Instances/Pigeon_Owner,BASE,o4_c4_p52_h55,OK,SATISFIABLE,1+,10.041,0.05,0.05,0.00,10.040,0
../Instances/Pigeon_Owner,SBASS,o4_c4_p52_h55,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Owner,active_BK,o5_c5_p12_h15,OK,UNSATISFIABLE,0,0.988,0.92,0.00,0.92,0.988,0
../Instances/Pigeon_Owner,active_BK_sat,o5_c5_p12_h15,OK,UNSATISFIABLE,0,0.090,0.01,0.00,0.01,0.090,0
../Instances/Pigeon_Owner,BASE,o5_c5_p12_h15,OK,UNKNOWN,0+,900.000,899.75,0.00,0.00,899.984,0
../Instances/Pigeon_Owner,SBASS,o5_c5_p12_h15,OK,UNKNOWN,0+,900.000,899.85,0.00,0.00,899.982,2418925093
../Instances/Pigeon_Owner,active_BK,o5_c5_p52_h56,OK,SATISFIABLE,1+,20.040,15.21,15.21,0.00,20.039,0
../Instances/Pigeon_Owner,active_BK_sat,o5_c5_p52_h56,OK,SATISFIABLE,1+,5.031,0.01,0.01,0.00,5.030,0
../Instances/Pigeon_Owner,BASE,o5_c5_p52_h56,OK,SATISFIABLE,1+,18.074,0.09,0.09,0.00,18.073,0
../Instances/Pigeon_Owner,SBASS,o5_c5_p52_h56,Timeout,UNKNOWN,0+,900,0,0,0,0,900
