Problem,Encoding,Instance,Pre-processing,Result,Model,Time,Solving,1st Model,Unsat,CPU,Pre-proc Time(Nanos)
./Instances/Pigeon_Color,active_BK_order,c1_p52_h52,OK,SATISFIABLE,1,0.101,0,0,0,0.101,0
./Instances/Pigeon_Color,active_BK_sat,c1_p52_h52,OK,SATISFIABLE,1,0.1,0,0,0,0.1,0
./Instances/Pigeon_Color,BASE,c1_p52_h52,OK,SATISFIABLE,1+,0.145,0.01,0.01,0,0.145,0
./Instances/Pigeon_Color,SBASS,c1_p52_h52,OK,SATISFIABLE,1+,1.083,0.35,0.35,0,1.083,63454508955
./Instances/Pigeon_Color,active_BK_enum,c2_p12_h12,OK,UNSATISFIABLE,0,6.648,6.64,0,6.64,6.647,0
./Instances/Pigeon_Color,active_BK_full,c2_p12_h12,OK,UNSATISFIABLE,0,0.01,0,0,0,0.01,0
./Instances/Pigeon_Color,active_BK_order,c2_p12_h12,OK,UNSATISFIABLE,0,0.01,0,0,0,0.01,0
./Instances/Pigeon_Color,active_BK_sat,c2_p12_h12,OK,UNSATISFIABLE,0,0.009,0,0,0,0.009,0
./Instances/Pigeon_Color,BASE,c2_p12_h12,OK,UNKNOWN,0+,900,899.99,0,0,899.98,0
./Instances/Pigeon_Color,SBASS,c2_p12_h12,OK,UNKNOWN,0+,900,899.98,0,0,899.979,92210322
./Instances/Pigeon_Color,active_BK_enum,c2_p52_h53,OK,SATISFIABLE,1+,0.559,0.26,0.26,0,0.559,0
./Instances/Pigeon_Color,active_BK_full,c2_p52_h53,OK,SATISFIABLE,1+,0.293,0,0,0,0.293,0
./Instances/Pigeon_Color,active_BK_order,c2_p52_h53,OK,SATISFIABLE,1+,0.421,0.02,0.02,0,0.421,0
./Instances/Pigeon_Color,active_BK_sat,c2_p52_h53,OK,SATISFIABLE,1,0.298,0,0,0,0.298,0
./Instances/Pigeon_Color,BASE,c2_p52_h53,OK,UNKNOWN,0+,900,899.36,0,0,899.979,0
./Instances/Pigeon_Color,SBASS,c2_p52_h53,OK,UNKNOWN,0+,900,898.92,0,0,899.981,93870096964
./Instances/Pigeon_Color,active_BK_enum,c3_p12_h13,OK,UNSATISFIABLE,0,4.457,4.44,0,4.44,4.457,0
./Instances/Pigeon_Color,active_BK_full,c3_p12_h13,OK,UNSATISFIABLE,0,0.019,0,0,0,0.019,0
./Instances/Pigeon_Color,active_BK_order,c3_p12_h13,OK,UNSATISFIABLE,0,0.052,0.04,0,0.04,0.052,0
./Instances/Pigeon_Color,active_BK_sat,c3_p12_h13,OK,UNSATISFIABLE,0,0.014,0,0,0,0.014,0
./Instances/Pigeon_Color,BASE,c3_p12_h13,OK,UNKNOWN,0+,900,899.98,0,0,899.98,0
./Instances/Pigeon_Color,SBASS,c3_p12_h13,OK,UNKNOWN,0+,900,899.97,0,0,899.968,227697047
