ID_FILE_1,SOLVING_TIME_DEFAULT,SOLVING_TIME_CUSTOM
83_Enumerate_Alternative_Full_2_DEFAULT_4448_2-doublev-15,0.11,0.01
117_Enumerate_Alternative_Full_3_DEFAULT_15838_2-doublev-21,0.11,0.01
21_Enumerate_Alternative_Full_3_DEFAULT_717_2-doublev-9,0.11,0
67_Enumerate_Alternative_Full_1_DEFAULT_17876_2-doublev-12,0.11,0.02
87_Enumerate_Alternative_Full_3_DEFAULT_14775_2-doublev-12,0.11,0.01
34_Enumerate_Alternative_Full_1_DEFAULT_10456_Un-2-doublev-9,0.12,0.02
62_Enumerate_Alternative_Full_2_DEFAULT_21352_Un-2-doublev-9,0.12,0.03
16_Enumerate_Alternative_Full_1_DEFAULT_26740_2-doublev-15,0.12,0.02
37_Enumerate_Alternative_Full_1_DEFAULT_3380_2-doublev-15,0.12,0.03
73_Enumerate_Alternative_Full_1_DEFAULT_5107_2-doublev-15,0.12,0.17
13_Enumerate_Alternative_Full_1_DEFAULT_29690_2-doublev-21,0.12,0.02
80_Enumerate_Alternative_Full_2_DEFAULT_32737_2-doublev-21,0.12,0.01
29_Enumerate_Alternative_Full_2_DEFAULT_7260_2-doublev-24,0.12,0.57
108_Enumerate_Alternative_Full_3_DEFAULT_16923_2-doublev-12,0.12,0.03
56_Enumerate_Alternative_Full_2_DEFAULT_27702_2-doublev-12,0.12,0.01
99_Enumerate_Alternative_Full_3_DEFAULT_11310_2-doublev-12,0.12,0.01
120_Enumerate_Alternative_Full_3_DEFAULT_6602_Un-2-doublev-9,0.13,0.01
42_Enumerate_Alternative_Full_3_DEFAULT_3023_Un-2-doublev-9,0.13,0.03
101_Enumerate_Alternative_Full_2_DEFAULT_7830_2-doublev-15,0.13,0.01
12_Enumerate_Alternative_Full_3_DEFAULT_31928_2-doublev-21,0.13,0.03
29_Enumerate_Alternative_Full_2_DEFAULT_7260_2-doublev-12,0.13,0.01
44_Enumerate_Alternative_Full_2_DEFAULT_13524_2-doublev-12,0.13,0.02
41_Enumerate_Alternative_Full_2_DEFAULT_69_Un-2-doublev-15,0.14,0.03
119_Enumerate_Alternative_Full_2_DEFAULT_31792_Un-2-doublev-9,0.14,0.03
1_Enumerate_Alternative_Full_1_DEFAULT_31681_Un-2-doublev-9,0.14,0.01
40_Enumerate_Alternative_Full_1_DEFAULT_14157_Un-2-doublev-9,0.14,0.03
120_Enumerate_Alternative_Full_3_DEFAULT_6602_Un-2-doublev-12,0.14,0.04
35_Enumerate_Alternative_Full_2_DEFAULT_25977_Un-2-doublev-12,0.14,0.02
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-doublev-18,0.14,0.03
87_Enumerate_Alternative_Full_3_DEFAULT_14775_2-doublev-21,0.14,0.02
19_Enumerate_Alternative_Full_1_DEFAULT_6751_2-doublev-12,0.14,0
34_Enumerate_Alternative_Full_1_DEFAULT_10456_2-doublev-12,0.14,0.03
95_Enumerate_Alternative_Full_2_DEFAULT_15928_2-doublev-12,0.14,0.03
98_Enumerate_Alternative_Full_2_DEFAULT_32598_2-doublev-12,0.14,0.01
35_Enumerate_Alternative_Full_2_DEFAULT_25977_Un-2-doublev-9,0.15,0.04
56_Enumerate_Alternative_Full_2_DEFAULT_27702_Un-2-doublev-9,0.15,0.02
99_Enumerate_Alternative_Full_3_DEFAULT_11310_Un-2-doublev-9,0.15,0.01
25_Enumerate_Alternative_Full_1_DEFAULT_6709_2-doublev-15,0.15,0.02
120_Enumerate_Alternative_Full_3_DEFAULT_6602_2-doublev-24,0.15,0.53
41_Enumerate_Alternative_Full_2_DEFAULT_69_Un-2-doublev-9,0.16,0.02
46_Enumerate_Alternative_Full_1_DEFAULT_10222_Un-2-doublev-9,0.16,0.03
104_Enumerate_Alternative_Full_2_DEFAULT_22564_2-doublev-15,0.16,0.04
64_Enumerate_Alternative_Full_1_DEFAULT_24318_2-doublev-21,0.16,0.14
9_Enumerate_Alternative_Full_3_DEFAULT_25434_2-doublev-21,0.16,0.01
22_Enumerate_Alternative_Full_1_DEFAULT_16849_2-doublev-12,0.16,0
73_Enumerate_Alternative_Full_1_DEFAULT_5107_2-doublev-12,0.16,0
19_Enumerate_Alternative_Full_1_DEFAULT_6751_Un-2-doublev-9,0.17,0.04
4_Enumerate_Alternative_Full_1_DEFAULT_15262_Un-2-doublev-9,0.17,0.01
58_Enumerate_Alternative_Full_1_DEFAULT_26985_Un-2-doublev-9,0.17,0.03
111_Enumerate_Alternative_Full_3_DEFAULT_21083_Un-2-doublev-12,0.17,0.04
106_Enumerate_Alternative_Full_1_DEFAULT_8543_2-doublev-18,0.17,0.06
35_Enumerate_Alternative_Full_2_DEFAULT_25977_2-doublev-18,0.17,0.04
46_Enumerate_Alternative_Full_1_DEFAULT_10222_2-doublev-18,0.17,0.03
64_Enumerate_Alternative_Full_1_DEFAULT_24318_2-doublev-18,0.17,0.21
35_Enumerate_Alternative_Full_2_DEFAULT_25977_2-doublev-21,0.17,0.04
36_Enumerate_Alternative_Full_3_DEFAULT_20418_2-doublev-21,0.17,0.02
